t_s,ref_rad_s,omega_rad_s,vcmd_V
1.810000000000000053e+00,3.000000000000000000e+02,3.003775057143029699e+02,3.546257447724412426e+00
1.820000000000000062e+00,3.000000000000000000e+02,3.002375940424572036e+02,3.541859499131272404e+00
1.830000000000000071e+00,3.000000000000000000e+02,3.000888746139631280e+02,3.537866455584056880e+00
1.840000000000000080e+00,3.000000000000000000e+02,2.999329957737593304e+02,3.534031187797562534e+00
1.850000000000000089e+00,3.000000000000000000e+02,2.997707437370449384e+02,3.530257399093442938e+00
1.860000000000000098e+00,3.000000000000000000e+02,2.996025632236328420e+02,3.526507566398487281e+00
1.870000000000000107e+00,3.000000000000000000e+02,2.994287605434849979e+02,3.522767068429307979e+00
1.880000000000000115e+00,3.000000000000000000e+02,2.992495829375299650e+02,3.519030207839990876e+00
1.890000000000000124e+00,3.000000000000000000e+02,2.990652496920081376e+02,3.871521275406202722e+00
1.900000000000000133e+00,3.000000000000000000e+02,3.000269467511914172e+02,3.678270356522702400e+00
1.910000000000000142e+00,3.000000000000000000e+02,3.003271097319916407e+02,3.600688649775432904e+00
1.919999999999999929e+00,3.000000000000000000e+02,3.003650133429605944e+02,3.568178739788474108e+00
1.929999999999999938e+00,3.000000000000000000e+02,3.002964126031364458e+02,3.553231557390690742e+00
1.939999999999999947e+00,3.000000000000000000e+02,3.001821656855596530e+02,3.545127887400718159e+00
1.949999999999999956e+00,3.000000000000000000e+02,3.000461467217047016e+02,3.539690868239216748e+00
1.959999999999999964e+00,3.000000000000000000e+02,2.998978124189421237e+02,3.535292939272517199e+00
1.969999999999999973e+00,3.000000000000000000e+02,2.997409956329994429e+02,3.531299903372962401e+00
1.979999999999999982e+00,3.000000000000000000e+02,2.995773321108288201e+02,3.527464638566465194e+00
1.989999999999999991e+00,3.000000000000000000e+02,2.994075959796919051e+02,3.523690851023535853e+00
2.000000000000000000e+00,3.000000000000000000e+02,2.992322203474017215e+02,3.876167529591000527e+00
2.010000000000000231e+00,3.000000000000000000e+02,3.002024826618770703e+02,3.682911003873885036e+00
2.020000000000000018e+00,3.000000000000000000e+02,3.005108620650731837e+02,3.605327112361449426e+00
2.030000000000000249e+00,3.000000000000000000e+02,3.005566577913302808e+02,3.572816351056412376e+00
2.040000000000000036e+00,3.000000000000000000e+02,3.004956416900781164e+02,3.557868836933057999e+00
2.049999999999999822e+00,3.000000000000000000e+02,3.003886854853057571e+02,3.549765037682523605e+00
2.060000000000000053e+00,3.000000000000000000e+02,3.002596753115626598e+02,3.544327968153203834e+00
2.069999999999999840e+00,3.000000000000000000e+02,3.001180790165709027e+02,3.539930019560123320e+00
2.080000000000000071e+00,3.000000000000000000e+02,2.999677400106857590e+02,3.535936976012930000e+00
2.089999999999999858e+00,3.000000000000000000e+02,2.998103041273343479e+02,3.532101708226446757e+00
2.100000000000000089e+00,3.000000000000000000e+02,2.996465551671774961e+02,3.528327919522331602e+00
2.109999999999999876e+00,3.000000000000000000e+02,2.994769355287186272e+02,3.524578086827375945e+00
2.120000000000000107e+00,3.000000000000000000e+02,2.993017492902393428e+02,3.877064099668149133e+00
2.129999999999999893e+00,3.000000000000000000e+02,3.002722238451699468e+02,3.683811211154587095e+00
2.140000000000000124e+00,3.000000000000000000e+02,3.005808190458602098e+02,3.606228736919024236e+00
2.149999999999999911e+00,3.000000000000000000e+02,3.006268268166347184e+02,3.573718527871706296e+00
2.160000000000000142e+00,3.000000000000000000e+02,3.005660163569192491e+02,3.558771228941722153e+00
2.169999999999999929e+00,3.000000000000000000e+02,3.004592585488626924e+02,3.550667513543679821e+00
2.180000000000000160e+00,3.000000000000000000e+02,3.003304393823797795e+02,3.545230476688419063e+00
2.189999999999999947e+00,3.000000000000000000e+02,3.001890268251507337e+02,3.540832540827148822e+00
2.200000000000000178e+00,3.000000000000000000e+02,3.000388645037825768e+02,3.536839502241047040e+00
2.209999999999999964e+00,3.000000000000000000e+02,2.998815984989309413e+02,3.533004236387709440e+00
2.220000000000000195e+00,3.000000000000000000e+02,2.997180128642634713e+02,3.529230448436865508e+00
2.229999999999999982e+00,3.000000000000000000e+02,2.995485502474926420e+02,3.525480616035431058e+00
2.240000000000000213e+00,3.000000000000000000e+02,2.993735149688135948e+02,3.521740118180624268e+00
2.250000000000000000e+00,3.000000000000000000e+02,2.991931523571225284e+02,3.874229768445826672e+00
2.260000000000000231e+00,3.000000000000000000e+02,3.001586621588206754e+02,3.680978297295205426e+00
2.270000000000000018e+00,3.000000000000000000e+02,3.004624888821933268e+02,3.603396375350900183e+00
2.280000000000000249e+00,3.000000000000000000e+02,3.005039140779842342e+02,3.570886381510020247e+00
2.290000000000000036e+00,3.000000000000000000e+02,3.004386986785244176e+02,3.555939166437623200e+00
2.300000000000000266e+00,3.000000000000000000e+02,3.003277062828138924e+02,3.547835483715623628e+00
2.310000000000000053e+00,3.000000000000000000e+02,3.001948161378552982e+02,3.542398459592944082e+00
2.319999999999999840e+00,3.000000000000000000e+02,3.000494898297018267e+02,3.538000528693068691e+00
2.330000000000000071e+00,3.000000000000000000e+02,2.998955648890665771e+02,3.534007492040229348e+00
2.339999999999999858e+00,3.000000000000000000e+02,2.997346815514077321e+02,3.530172226940206937e+00
2.350000000000000089e+00,3.000000000000000000e+02,2.995676182568585091e+02,3.526398439282899755e+00
2.359999999999999876e+00,3.000000000000000000e+02,2.993948122586704699e+02,3.522648606995846698e+00
2.370000000000000107e+00,3.000000000000000000e+02,2.992165626917728218e+02,3.875134619995562080e+00
2.379999999999999893e+00,3.000000000000000000e+02,3.001840921983732642e+02,3.681881731543934499e+00
2.390000000000000124e+00,3.000000000000000000e+02,3.004898560635414810e+02,3.604299257332505224e+00
2.399999999999999911e+00,3.000000000000000000e+02,3.005331418208626815e+02,3.571789048294591762e+00
2.410000000000000142e+00,3.000000000000000000e+02,3.004697144486306115e+02,3.556841749368273575e+00
2.419999999999999929e+00,3.000000000000000000e+02,3.003604407708753001e+02,3.548738033971658101e+00
2.430000000000000160e+00,3.000000000000000000e+02,3.002292028760939502e+02,3.543300997116951567e+00
2.439999999999999947e+00,3.000000000000000000e+02,3.000854649811927857e+02,3.538903061255900262e+00
2.450000000000000178e+00,3.000000000000000000e+02,2.999330671068294691e+02,3.534910022669882412e+00
2.459999999999999964e+00,3.000000000000000000e+02,2.997736518669421457e+02,3.531074756816575011e+00
2.470000000000000195e+00,3.000000000000000000e+02,2.996079999823360254e+02,3.527300968865744846e+00
2.479999999999999982e+00,3.000000000000000000e+02,2.994365508965479421e+02,3.523551136464314393e+00
2.490000000000000213e+00,3.000000000000000000e+02,2.992596058493153919e+02,3.519810638609510267e+00
2.500000000000000000e+00,3.000000000000000000e+02,2.990774072080179167e+02,3.872300288874715335e+00
2.510000000000000231e+00,3.000000000000000000e+02,3.000411518718885873e+02,3.679048817724093645e+00
2.520000000000000018e+00,3.000000000000000000e+02,3.003432816119776589e+02,3.601466895779788402e+00
2.530000000000000249e+00,3.000000000000000000e+02,3.003830753474827020e+02,3.568956901938908466e+00
2.540000000000000036e+00,3.000000000000000000e+02,3.003162914807962807e+02,3.554009686866511419e+00
2.550000000000000266e+00,3.000000000000000000e+02,3.002037911786645168e+02,3.545906004144511847e+00
2.560000000000000053e+00,3.000000000000000000e+02,3.000694513497492153e+02,3.540468980021832301e+00
2.569999999999999840e+00,3.000000000000000000e+02,2.999227313320493522e+02,3.536071049121956911e+00
2.580000000000000071e+00,3.000000000000000000e+02,2.997674664950243937e+02,3.532078012469117567e+00
2.589999999999999858e+00,3.000000000000000000e+02,2.996052949963280980e+02,3.528242747369095156e+00
2.600000000000000089e+00,3.000000000000000000e+02,2.994369932785163542e+02,3.524468959711787974e+00
2.609999999999999876e+00,3.000000000000000000e+02,2.992629966743928662e+02,3.876945638234687408e+00
2.620000000000000107e+00,3.000000000000000000e+02,3.002345847706036466e+02,3.683689112500205365e+00
2.629999999999999893e+00,3.000000000000000000e+02,3.005442387651141871e+02,3.606105220981003168e+00
2.640000000000000124e+00,3.000000000000000000e+02,3.005912598688356070e+02,3.573594459673328227e+00
2.649999999999999911e+00,3.000000000000000000e+02,3.005314218314296113e+02,3.558646945548946228e+00
2.660000000000000142e+00,3.000000000000000000e+02,3.004255982037381045e+02,3.550543146298009933e+00
2.669999999999999929e+00,3.000000000000000000e+02,3.002976768766229156e+02,3.545106076768532954e+00
2.680000000000000160e+00,3.000000000000000000e+02,3.001571273863033866e+02,3.540708128175392932e+00
2.689999999999999947e+00,3.000000000000000000e+02,3.000077947664363478e+02,3.536715084628177408e+00
2.700000000000000178e+00,3.000000000000000000e+02,2.998513264110721934e+02,3.532879816841683063e+00
2.709999999999999964e+00,3.000000000000000000e+02,2.996885076212369086e+02,3.529106028137563467e+00
2.720000000000000195e+00,3.000000000000000000e+02,2.995197822378678438e+02,3.525356195442607810e+00
2.729999999999999982e+00,3.000000000000000000e+02,2.993454557259861417e+02,3.521615697473428508e+00
2.740000000000000213e+00,3.000000000000000000e+02,2.991657745142038607e+02,3.874105347694063894e+00
2.750000000000000000e+00,3.000000000000000000e+02,3.001319394058232888e+02,3.680853876526075652e+00
2.760000000000000231e+00,3.000000000000000000e+02,3.004363959250845824e+02,3.603271954575002933e+00
2.770000000000000018e+00,3.000000000000000000e+02,3.004784265994052248e+02,3.570761960731487772e+00
2.780000000000000249e+00,3.000000000000000000e+02,3.004137933000581597e+02,3.555814745658063547e+00
2.790000000000000036e+00,3.000000000000000000e+02,3.003033605287233740e+02,3.547711062935662074e+00
2.800000000000000266e+00,3.000000000000000000e+02,3.001710084002265262e+02,3.542274038812827541e+00
2.810000000000000053e+00,3.000000000000000000e+02,3.000261993349346312e+02,3.537876107912889978e+00
2.819999999999999840e+00,3.000000000000000000e+02,2.998727716656600251e+02,3.533883071260028430e+00
2.830000000000000071e+00,3.000000000000000000e+02,2.997123663989898432e+02,3.530047806159997137e+00
2.839999999999999858e+00,3.000000000000000000e+02,2.995457627164116161e+02,3.526274018502688179e+00
2.850000000000000089e+00,3.000000000000000000e+02,2.993733985839066349e+02,3.522524186215630682e+00
2.859999999999999876e+00,3.000000000000000000e+02,2.991955738216140048e+02,3.875010199215346063e+00
